ts_day,num_accounts,rewards_hnt,date
1589760000,"1,490","132,083",5/18/2020
1589846400,"1,486","36,667",5/19/2020
1589932800,"1,504","160,556",5/20/2020
1590019200,"1,506","156,667",5/21/2020
1590105600,"1,499","151,354",5/22/2020
1590192000,"1,494","154,410",5/23/2020
1590278400,"1,490","140,625",5/24/2020
1590364800,"1,497","156,319",5/25/2020
1590451200,"1,497","149,792",5/26/2020
1590537600,"1,501","140,417",5/27/2020
1590624000,"1,512","141,840",5/28/2020
1590710400,"1,513","159,688",5/29/2020
1590796800,"1,565","153,125",5/30/2020
1590883200,"1,594","140,590",5/31/2020
1590969600,"1,621","123,160",6/1/2020
1591056000,"1,645","140,417",6/2/2020
1591142400,"1,671","140,972",6/3/2020
1591228800,"1,685","128,333",6/4/2020
1591315200,"1,699","135,521",6/5/2020
1591401600,"1,751","118,681",6/6/2020
1591488000,"1,765","126,667",6/7/2020
1591574400,"1,767","121,424",6/8/2020
1591660800,"1,767","139,236",6/9/2020
1591747200,"1,763","143,611",6/10/2020
1591833600,"1,770","122,986",6/11/2020
1591920000,"1,774","138,299",6/12/2020
1592006400,"1,789","141,806",6/13/2020
1592092800,"1,794","139,826",6/14/2020
1592179200,"1,794","133,264",6/15/2020
1592265600,"1,800","144,583",6/16/2020
1592352000,"1,798","125,764",6/17/2020
1592438400,"1,776","124,236",6/18/2020
1592524800,"1,711","155,660",6/19/2020
1592611200,"1,778","139,132",6/20/2020
1592697600,"1,749","160,833",6/21/2020
1592784000,"1,754","156,944",6/22/2020
1592870400,"1,818","145,312",6/23/2020
1592956800,"1,817","151,806",6/24/2020
1593043200,"1,819","137,049",6/25/2020
1593129600,"1,820","141,076",6/26/2020
1593216000,"1,817","128,993",6/27/2020
1593302400,"1,814","132,951",6/28/2020
1593388800,"1,812","138,021",6/29/2020
1593475200,"1,808","152,326",6/30/2020
1593561600,"1,808","160,833",7/1/2020
1593648000,"1,804","148,750",7/2/2020
1593734400,"1,831","159,201",7/3/2020
1593820800,"1,827","167,778",7/4/2020
1593907200,"1,829","147,674",7/5/2020
1593993600,"1,831","158,368",7/6/2020
1594080000,"1,828","149,132",7/7/2020
1594166400,"1,829","165,139",7/8/2020
1594252800,"1,822","151,528",7/9/2020
1594339200,"1,823","162,118",7/10/2020
1594425600,"1,835","162,292",7/11/2020
1594512000,"1,829","156,424",7/12/2020
1594598400,"1,830","161,632",7/13/2020
1594684800,"1,831","154,097",7/14/2020
1594771200,"1,832","157,674",7/15/2020
1594857600,"1,831","155,243",7/16/2020
1594944000,"1,829","157,986",7/17/2020
1595030400,"1,781","160,000",7/18/2020
1595116800,"1,784","156,007",7/19/2020
1595203200,"1,788","152,326",7/20/2020
1595289600,"1,783","153,889",7/21/2020
1595376000,"1,784","164,444",7/22/2020
1595462400,"1,792","159,583",7/23/2020
1595548800,"1,826","154,826",7/24/2020
1595635200,"1,841","162,083",7/25/2020
1595721600,"1,842","155,035",7/26/2020
1595808000,"1,836","148,021",7/27/2020
1595894400,"1,834","154,340",7/28/2020
1595980800,"1,831","161,979",7/29/2020
1596067200,"1,845","151,701",7/30/2020
1596153600,"1,840","150,486",7/31/2020
1596240000,"1,847","144,410",8/1/2020
1596326400,"1,848","144,201",8/2/2020
1596412800,"1,854","145,451",8/3/2020
1596499200,"1,848","152,049",8/4/2020
1596585600,"1,817","140,208",8/5/2020
1596672000,"1,832","147,187",8/6/2020
1596758400,"1,856","119,757",8/7/2020
1596844800,"1,892","132,465",8/8/2020
1596931200,"1,942","103,611",8/9/2020
1597017600,"1,969","116,736",8/10/2020
1597104000,"2,059","100,556",8/11/2020
1597190400,"2,116","118,919",8/12/2020
1597276800,"2,159","113,826",8/13/2020
1597363200,"2,179","97,211",8/14/2020
1597449600,"2,194","100,901",8/15/2020
1597536000,"2,247","125,127",8/16/2020
1597622400,"2,283","133,035",8/17/2020
1597708800,"2,345","127,437",8/18/2020
1597795200,"2,380","109,744",8/19/2020
1597881600,"2,391","120,961",8/20/2020
1597968000,"2,406","117,023",8/21/2020
1598054400,"2,428","116,905",8/22/2020
1598140800,"2,437","99,454",8/23/2020
1598227200,"2,459","111,058",8/24/2020
1598313600,"2,470","124,521",8/25/2020
1598400000,"2,479","140,014",8/26/2020
1598486400,"2,508","130,477",8/27/2020
1598572800,"2,535","126,697",8/28/2020
1598659200,"2,613","154,139",8/29/2020
1598745600,"2,671","162,933",8/30/2020
1598832000,"2,688","155,435",8/31/2020
1598918400,"2,728","163,132",9/1/2020
1599004800,"2,845","173,013",9/2/2020
1599091200,"2,864","156,958",9/3/2020
1599177600,"2,902","167,148",9/4/2020
