,service_domain,quarter,num_nodes_final,total_rewards,total_rewards_dollar,total_rewards_dollar_fixed,total_relays,avg_stake,rewards_per_node_final,rewards_per_node_final_fixed,active
119,stephenross.uk,20231,2.0,4.80522,0.2814888657536997,0.1441566,20190.0,16502.74223034735,0.14074443287684985,0.0720783,1.0
120,tampaco.in,20231,1.0,309.955269,19.36489767189924,9.29865807,1383810.0,16968.045112781954,6.45496589063308,3.09955269,1.0
121,thundernetwork.xyz,20231,108.0,123971.155491,7496.515408572326,3719.1346647299997,599158509.0,17339.0243902439,23.13739323633434,11.478810693611111,1.0
122,thunderstake.org,20231,3611.0,3729168.332889,227831.95211032016,111875.04998667,11382901034.0,23101.093354159115,24.802084923831934,12.17886457507838,1.0
123,tokens.fi,20231,335.0,22191.197081,1352.7377359199816,665.73591243,74324437.0,21935.078816419453,8.841423110588115,4.351215113921569,0.0
124,tuku.dev,20231,7.0,7365.317791,448.26205774656626,220.95953373,8615187.0,60000.0,21.34581227364601,10.521882558571429,1.0
125,turelier.com,20231,,2172.721107,131.9079862422629,65.18163321,3327027.0,,21.984664373710483,10.863605535,
126,uadevops.com,20231,,7775.300881,473.3988224401685,233.25902643,9135695.0,,39.44990187001404,19.4382522025,
127,uebeweb3.de,20231,,0.044079,0.0024017605699893697,0.00132237,251.0,,0.0024017605699893697,0.00132237,
128,ursamajor.eu,20231,,687.023362,41.9877831073532,20.61070086,818745.0,,13.995927702451068,6.8702336200000005,
129,validatrium.com,20231,,199.933134,12.094429528284687,5.997994019999999,868420.0,,4.031476509428229,1.9993313399999997,
130,vido.info,20231,1.0,1438.83896,87.37535319731658,43.165168800000004,1756425.0,60000.0,29.125117732438863,14.388389600000002,1.0
131,weaversnodes.org,20231,,112066.911726,6393.386874729043,3362.00735178,169768254.0,,30.59036782167006,16.086159577894737,
132,wetez.io,20231,,49.259620999999996,3.0737862742611615,1.47778863,56583.0,,1.0245954247537206,0.49259621000000003,
133,whiteholestake.io,20231,101.0,63427.4314,3733.7217463360244,1902.822942,304524173.0,15000.0,12.322514014310311,6.279943702970297,1.0
134,winskitech.com,20231,,45659.903616,2792.394818363263,1369.79710848,54643703.0,,44.32372727560735,21.742811245714286,
135,yokto.net,20231,4.0,1011.791609,60.16672305888176,30.353748269999997,3320482.0,45000.0,5.013893588240147,2.5294790225,1.0
136,zanshindojo.org,20231,,573.966673,36.35213900463724,17.21900019,667430.0,,12.117379668212413,5.73966673,
137,zp-labs.net,20231,193.0,327050.412561,19935.68027100387,9811.51237683,392828775.0,64368.52855721428,38.48586924904222,18.9411435846139,1.0
138,zwenighirni.ch,20231,,6638.914775,394.5416194836929,199.16744325,10756548.0,,65.75693658061549,33.194573874999996,
0,aapokt.com,20232,41.0,20953.655798,864.5071026734136,628.60967394,47337238.0,39136.95601310194,19.647888697123037,14.286583498636363,1.0
1,alchemy.fyi,20232,1.0,971.123533,32.91562289676101,29.133705989999996,1499463.0,59388.15789473685,16.457811448380504,14.566852994999998,1.0
2,apes.capital,20232,,52.396479,1.8021281707193335,1.5718943699999999,335688.0,,0.6007093902397779,0.52396479,
3,bargsystems.com,20232,31.0,94806.238504,3613.717597577995,2844.1871551199997,149244342.0,59912.593984962405,38.85717846858059,30.582657581935482,1.0
4,baselinewireless.com,20232,1.0,95.66077,3.1864337387909174,2.8698231,645314.0,15039.98667110963,1.5932168693954587,1.43491155,1.0
5,bignodeapp.com,20232,75.0,264229.368546,10126.405829468798,7926.88105638,410957730.0,60000.0,45.00624813097244,35.2305824728,1.0
6,bitcat365.com,20232,,405.034479,15.681508586532093,12.151034369999998,598360.0,,5.227169528844031,4.05034479,
7,blackholestake.io,20232,216.0,194695.427913,7461.11802652795,5840.86283739,1103964753.0,15406.842033528692,11.514071028592515,9.013677218194445,1.0
8,blockchain.info,20232,3.0,18.123266,0.686223780581566,0.54369798,115662.0,14866.600790513834,0.22874126019385532,0.18123266000000002,1.0
9,blockspaces.global,20232,844.0,1202800.940992,46534.20192908698,36084.02822976,3335741513.0,33897.24811248727,24.937943155995164,19.33763570726688,1.0
10,blokhub.org,20232,501.0,1502292.505069,57479.77880422177,45068.77515207,2691044939.0,38321.97305172086,38.29432298748952,30.025832879460356,1.0
11,bwtechnologies.app,20232,,1873.877966,70.70380129576446,56.216338979999996,4011463.0,,11.78396688262741,9.36938983,
12,bwtechnologies3.com,20232,,7540.665614,282.10635760502515,226.21996842,11546383.0,,18.80709050700168,15.081331228,
13,c0d3r.org,20232,5624.0,6339392.914688,242310.58763896042,190181.78744063998,25675519212.0,19602.405863314012,15.131171951977047,11.875970241079054,1.0
14,chainpokt.com,20232,75.0,265178.848737,10174.826706743635,7955.3654621099995,412373856.0,60000.0,45.221452029971715,35.3571798316,1.0
15,chainstacklabs.com,20232,7.0,2584.359316,96.86258345862983,77.53077947999999,16257601.0,15000.0,4.612503974220468,3.6919418799999995,1.0
16,cloudnodechain.com,20232,25.0,85163.590774,3272.3650011758864,2554.9077232199998,132225101.0,60000.0,43.63153334901182,34.065436309599995,1.0
17,co.in,20232,,0.289582,0.011135272735778691,0.00868746,1807.0,,0.005567636367889346,0.00434373,
18,code2node.net,20232,10.0,306.446008,12.973580076875857,9.19338024,1786135.0,16729.770436730116,1.2973580076875857,0.919338024,0.0
19,com.mt,20232,8.0,7980.397593000001,286.32787735976774,239.41192779,12509780.0,60000.0,11.930328223323656,9.97549699125,1.0
20,crypto-solutions.net,20232,2.0,119.775106,5.070752721005569,3.5932531799999996,587118.0,25200.68922305764,2.5353763605027844,1.7966265899999998,0.0
21,cryptonode.tools,20232,316.0,663436.954203,24643.010290781363,19903.108626089997,1169617182.0,53874.714057665726,37.00151695312517,29.884547486621617,1.0
22,cryptopath.me,20232,,85.87400600000001,3.176553592693935,2.57622018,528592.0,,1.058851197564645,0.85874006,
23,cts-node-runner.net,20232,,0.460563,0.01949821764669937,0.01381689,2897.0,,0.01949821764669937,0.01381689,
24,dacminfrastructure.com,20232,7.0,389.825759,14.307080956734122,11.69477277,2435528.0,15000.0,0.6812895693682915,0.5568939414285714,1.0
25,dappnode.io,20232,6.0,2651.633723,95.94187537475746,79.54901169,6356599.0,60079.973342219266,5.996367210922341,4.971813230625,1.0
26,detoo.info,20232,,63.830369000000005,2.3653203828710874,1.91491107,395433.0,,0.7884401276236958,0.63830369,
27,dnvmf1111.de,20232,1.0,2.623391,0.11106287020536235,0.07870173,15602.0,15537.005163511187,0.11106287020536235,0.07870173,0.0
28,dopenodes.com,20232,1.0,149.704306,5.428593102413885,4.49112918,949522.0,15000.0,1.8095310341379616,1.49704306,1.0
29,dubosecloud.com,20232,,4504.13102,158.27603052648578,135.1239306,7093207.0,,8.793112807026988,7.506885033333333,
30,easy2stake.com,20232,884.0,2968674.236437,113261.3825110703,89060.22709310999,4648546309.0,65221.89921570226,46.70572474683311,36.725866842519586,1.0
31,emcsquare.xyz,20232,13.0,4716.675079,199.68333812986484,141.50025237,8804825.0,45053.31556147951,15.360256779220371,10.884634797692307,1.0
32,enact-e.net,20232,5.0,46.625980999999996,1.9603217740164458,1.3987794299999998,61000.0,37470.56603773585,0.6534405913388153,0.46625980999999994,0.0
33,epitech.nl,20232,629.0,175088.093099,6149.1387555152105,5252.642792969999,273773138.0,60020.80190272399,5.233309579161881,4.470334291889361,1.0
34,fort.software,20232,10.0,37440.708237,1431.059314862623,1123.22124711,59053797.0,60000.0,47.70197716208744,37.440708236999996,1.0
35,germscryptonodes.net,20232,1.0,18.867118,0.759381628243694,0.56601354,116018.0,15000.0,0.379690814121847,0.28300677,1.0
36,goodpokt.com,20232,141.0,479525.410303,18337.481079566827,14385.76230909,745292426.0,60000.0,45.05523606773176,35.345853339287466,1.0
37,grandcentralnode.com,20232,109.0,386957.180293,14825.605060525368,11608.71540879,601905094.0,60000.0,45.33824177530693,35.500658742477064,1.0
38,gunray.xyz,20232,52.0,4799.030961,191.79347950748576,143.97092883,28826858.0,15000.0,3.044340944563266,2.2852528385714286,1.0
39,hashquark.io,20232,1.0,8.192782,0.34684646089234467,0.24578345999999998,21437.0,34064.15094339623,0.34684646089234467,0.24578345999999998,0.0
40,hjhsing.cc,20232,1.0,164.88294100000002,6.268719528329525,4.94648823,1026076.0,15000.0,2.0895731761098415,1.64882941,1.0
41,hubcap.pro,20232,2.0,10.234597,0.40081331838586104,0.30703790999999997,64884.0,15039.98667110963,0.20040665919293052,0.15351895499999998,1.0
42,immensedao.com,20232,15.0,278.907758,11.807731339332419,8.36723274,1486636.0,17032.07547169811,0.7871820892888279,0.557815516,0.0
43,jorgevc.net,20232,1.0,53.834751,1.9720326040581373,1.6150425299999998,331538.0,15000.0,0.6573442013527124,0.5383475099999999,1.0
44,jsquare-stake.xyz,20232,,7.500668,0.31754538935961696,0.22502004,13129.0,,0.31754538935961696,0.22502004,
45,knowable.run,20232,2.0,16.209241,0.6136915167277982,0.48627723,104680.0,15473.088789852589,0.20456383890926608,0.16209241,0.0
46,lightspeedstake.io,20232,92.0,102011.923111,3922.0348340681057,3060.35769333,477504832.0,20057.497529644268,14.210271137927919,11.088252512065218,1.0
47,liquify.com,20232,122.0,67691.031319,2244.5443751741323,2030.73093957,101453263.0,60000.0,14.574963475156704,13.186564542662337,1.0
48,liquify.ltd,20232,905.0,2071818.816133,78883.57509428942,62154.56448399,4434227844.0,44537.426778554494,29.054723791635148,22.893025592629833,1.0
49,livaras.com,20232,,1347.022292,49.47581851418966,40.41066876,2167134.0,,16.49193950472989,13.47022292,
50,lunastations.online,20232,,118.035105,4.025349738482522,3.5410531499999998,184020.0,,1.3417832461608405,1.1803510499999998,
51,madpokt.com,20232,7.0,9555.083425,388.3660734493056,286.65250275,16153932.0,58230.040192527165,27.740433817807542,20.47517876785714,0.0
52,mind-heart-soul.org,20232,2.0,721.704524,27.404192673987698,21.65113572,4564737.0,15000.0,5.48083853479754,4.330227144,1.0
53,mindkast.com,20232,2.0,95.035009,4.023365510338506,2.8510502699999996,360241.0,25074.999999999996,2.011682755169253,1.4255251349999998,0.0
54,nextnode.ch,20232,1.0,1.118169,0.04733837179233283,0.033545069999999996,6498.0,16716.666666666664,0.04733837179233283,0.033545069999999996,0.0
55,node-river-001.com,20232,430.0,1516346.217865,58108.87057320008,45490.38653595,2363576775.0,60000.0,45.115582743167764,35.3186230869177,1.0
56,nodedaddy.com,20232,2.0,2121.030663,81.52989432891094,63.630919889999994,3401719.0,60749.54206705328,13.588315721485158,10.605153314999999,1.0
57,nodefleet.org,20232,1863.0,4976387.211779,192218.9562419344,149291.61635337,8845623980.0,56398.853471368675,38.25252860536008,29.709774398680594,1.0
58,nodeifi.io,20232,3.0,1895.416085,70.71597071550984,56.862482549999996,2998907.0,61904.450734718666,10.10228153078712,8.123211792857143,1.0
59,noderunnerpkte2s.xyz,20232,102.0,394864.782066,15086.525092764754,11845.94346198,617168706.0,60000.0,49.302369584198544,38.71223353588235,1.0
60,nodies.org,20232,2365.0,8194375.080401,312820.0112533068,245831.25241202998,12856965924.0,63870.52566153262,45.4284070945842,35.70015283357972,1.0
61,onchainnetworks.com,20232,,7.062653,0.23400819507276557,0.21187959,44326.0,,0.23400819507276557,0.21187959,
62,p2pify.com,20232,,377.375065,14.159966503230581,11.32125195,2332970.0,,4.719988834410194,3.77375065,
63,pjnodes.net,20232,1.0,311.856381,13.202631542807394,9.35569143,420060.0,67315.43624161073,13.202631542807394,9.35569143,0.0
64,pn-10.xyz,20232,231.0,13365.749268,565.8472092605718,400.97247803999994,18268909.0,68128.30188679275,47.153934105047654,33.41437317,0.0
65,pokt.cash,20232,6.0,584.5631569999999,24.075604932301665,17.53689471,835200.0,63116.92961884205,6.018901233075416,4.3842236775,1.0
66,poktchg.com,20232,75.0,271089.159447,10395.607396488867,8132.67478341,421467979.0,60000.0,46.20269953995052,36.1452212596,1.0
67,poktclouds.com,20232,1.0,2.086625,0.07883461694652664,0.06259875,13711.0,15537.005163511187,0.026278205648842215,0.02086625,0.0
68,poktloft.com,20232,164.0,566634.592948,21732.87090307855,16999.03778844,883749539.0,60000.0,44.71784136435916,34.9774440091358,1.0
69,poktmarbs.com,20232,9.0,10332.533689,375.4253169509103,309.97601067,16362488.0,60903.0913511636,16.322839867430883,13.477217855217392,1.0
70,poktminer.com,20232,15.0,44222.09063,1651.7677612446191,1326.6627188999998,69154674.0,60000.0,38.41320374987486,30.852621369767437,1.0
71,poktnodelord.com,20232,33.0,116350.07838400001,4456.416456148079,3490.50235152,180835735.0,60000.0,45.01430763785939,35.25759951030303,1.0
72,poktnodes.network,20232,120.0,14025.393446,498.9792865297198,420.76180338,79523991.0,28628.939325985306,4.089994151882949,3.448867240819672,1.0
73,poktscan.cloud,20232,3328.0,6122533.150492,230860.31543032802,183675.99451475998,14627264744.0,22757.50293599733,27.27555711605955,21.7008500135586,1.0
74,poktschool.com,20232,,540811.926926,20740.86599566531,16224.35780778,840947489.0,,45.484355253652,35.579732034605264,
