,num_nodes,reg_hardware,reg_all,reg_cloud,reg_hardware_err_lower,reg_hardware_err_upper
62,62,21.36580018076571,34.615237046458205,25.906873352645,5.630302060401364,37.10129830113006
63,63,21.35693780950193,34.59753198537222,25.89795537252858,5.676142188232248,37.03773343077161
64,64,21.34807911428229,34.57983598010137,25.889040462268106,5.720733956573788,36.97542427199079
65,65,21.339224093581986,34.5621490260138,25.880128620806857,5.764126339683232,36.91432184748074
66,66,21.33037274587686,34.54447111847998,25.871219847088426,5.806365641046815,36.854379850706906
67,67,21.32152506964337,34.52680225287275,25.862314140056807,5.847495678557749,36.795554460728994
68,68,21.312681063358635,34.50914242456736,25.853411498656357,5.88755795421177,36.7378041725055
69,69,21.303840725500383,34.49149162894137,25.84451192183177,5.926591809828125,36.68108964117264
70,70,21.295004054546975,34.473849861374745,25.83561540852813,5.964634570137296,36.62537353895665
71,71,21.28617104897741,34.45621711724978,25.826721957690886,6.001721674429891,36.57062042352493
